"","CCA1","CCA2","r2","Pr(>r)"
"Proteobacteria",0.460101796416642,0.887866170621552,0.620815411056472,0.140429785107446
"Bacteroidetes",-0.685655141843886,-0.727926525456409,0.107021809018741,0.798100949525237
"Chloroflexi",-0.724443515616455,-0.689334166193198,0.627668415299863,0.0989505247376312
"Planctomycetes",-0.447505928796586,-0.894280964625718,0.702171435917456,0.0804597701149425
"Bacteria_unclassified",-0.816731011673413,-0.577018591183095,0.433671895163215,0.283858070964518
"MGEs",0.91127228837793,-0.411804342418157,0.162474283376702,0.636681659170415
"PHE",0.570535958879024,0.82127262198736,0.214503998455345,0.631184407796102
