OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU430	2	4 	1	0	2	5	3	1	1	2	0	2	0
OTU431	2	2 	0	2	2	0	2	1	0	3	0	1	0
OTU432	2	4 	1	4	5	3	2	2	4	5	1	1	4
OTU433	0	1 	3	4	0	1	2	0	1	0	0	1	0
OTU434	1	1 	0	2	0	1	0	0	0	0	1	0	0
OTU435	0	1 	3	3	4	0	1	5	10	1	1	5	3
OTU436	2	0 	0	0	3	0	0	1	0	0	0	0	2
OTU437	0	0 	0	0	0	0	1	0	0	0	1	0	0
OTU438	1	3 	2	4	3	2	3	7	8	4	5	4	6
OTU439	1	0 	0	0	0	0	0	0	0	0	0	0	0
OTU440	2	2 	1	1	0	1	1	2	0	2	1	1	1
OTU441	1	0 	1	4	7	0	1	0	0	0	1	1	1
OTU442	1	1 	3	5	3	1	2	1	6	0	1	3	5
OTU443	0	0 	0	0	0	0	2	0	0	0	0	0	0
OTU444	1	1 	2	1	0	1	0	1	0	0	0	1	1
OTU445	1	2 	0	1	0	2	0	2	2	2	3	1	1
OTU446	0	0 	0	0	0	0	0	0	1	0	0	1	0
OTU447	0	2 	0	0	0	1	0	1	0	2	0	0	0
OTU448	2	3 	1	1	2	3	0	0	3	3	3	1	2
OTU449	0	0 	0	1	0	0	0	1	0	0	1	1	0
OTU450	5	3 	4	4	3	2	7	5	3	3	1	3	4
OTU451	10	9 	8	8	3	8	5	9	7	9	13	5	19
OTU452	3	3 	3	0	2	2	3	0	1	3	0	1	2
OTU453	0	1 	3	0	3	0	2	0	2	1	0	0	1
OTU454	0	0 	0	0	0	0	0	0	0	0	0	0	3
OTU455	7	9 	9	10	9	6	8	11	16	11	9	11	7
OTU456	6	9 	3	2	5	10	1	4	4	7	6	6	4
OTU457	4	4 	4	4	1	6	7	8	6	2	7	3	5
OTU458	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU459	0	1 	2	4	4	1	5	5	3	0	4	2	2
OTU460	3	2 	0	1	0	3	0	0	0	1	1	1	2
OTU461	0	2 	0	0	2	2	2	1	0	1	0	0	1
OTU462	3	5 	6	5	9	8	12	4	7	1	12	10	9
OTU463	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU464	3	1 	1	2	4	1	2	0	5	1	1	1	1
OTU465	2	0 	0	1	1	0	1	1	0	0	0	0	2
OTU466	1	3 	9	3	3	4	6	2	3	2	2	2	3
OTU467	0	0 	0	0	0	0	0	0	0	0	0	1	0
OTU468	2	2 	2	1	1	3	2	2	1	1	3	2	0
OTU469	0	1 	0	0	0	1	0	0	1	0	0	1	0
OTU470	1	1 	2	1	1	1	2	0	0	0	3	1	0
OTU471	19	12 	10	18	12	12	15	10	19	11	24	15	23
OTU472	0	0 	0	0	0	0	0	0	1	0	0	0	0
OTU473	0	1 	0	1	1	1	0	0	0	0	0	1	0
OTU474	0	1 	2	1	0	1	3	1	3	1	2	2	1
OTU475	0	1 	1	0	2	1	0	0	1	1	1	1	4
OTU476	2	2 	0	1	0	3	2	0	1	1	0	0	0
OTU477	1	1 	0	4	4	2	0	4	2	0	1	2	5
OTU478	2	2 	5	4	2	4	4	6	3	0	2	1	4
OTU479	1	0 	0	1	0	0	2	0	1	0	1	1	0
OTU480	1	2 	1	3	1	1	0	2	1	2	3	0	3
OTU481	6	19 	7	12	5	21	6	9	19	16	11	17	25
OTU482	0	0 	1	3	0	0	1	1	0	0	1	0	0
OTU483	1	1 	4	1	0	1	4	1	4	0	0	4	2
OTU484	2	2 	7	1	6	2	7	8	4	2	2	1	3
OTU485	0	1 	0	0	0	1	1	0	0	1	1	0	0
OTU486	2	0 	1	0	0	0	0	0	1	0	1	0	1
OTU487	0	0 	0	0	0	0	0	0	1	0	0	1	0
OTU488	9	11 	2	6	5	13	8	16	3	9	3	5	12
OTU489	1	0 	0	1	1	0	0	2	3	0	1	1	4
OTU490	0	2 	0	0	1	2	0	2	0	2	1	2	0
OTU491	0	2 	3	0	0	1	1	2	1	2	1	0	1
OTU492	0	1 	0	0	1	1	1	4	1	1	2	4	1
OTU493	0	0 	0	0	1	0	0	0	1	0	0	0	1
OTU494	0	0 	0	0	0	0	0	0	1	0	1	1	1
OTU495	0	1 	0	0	0	1	0	2	1	1	0	2	0
OTU496	0	0 	1	0	1	0	1	0	0	0	1	2	0
OTU497	1	2 	3	1	0	3	2	1	2	1	0	0	0
OTU498	0	1 	1	0	0	2	0	0	0	0	0	0	1
OTU499	0	2 	1	0	2	2	1	5	2	1	0	0	0
OTU500	24	32 	21	21	17	43	25	34	19	21	27	20	25
OTU501	0	2 	1	1	2	2	2	0	1	1	0	1	2
OTU502	0	1 	0	0	0	0	0	0	0	1	0	0	0
OTU503	4	6 	18	13	9	3	9	22	7	8	20	42	3
OTU504	3	1 	1	2	5	1	1	1	0	1	5	2	0
OTU505	0	0 	0	0	0	0	2	0	0	0	0	1	0
OTU506	0	1 	0	2	0	0	0	0	0	1	0	0	1
OTU507	18	18 	18	16	9	21	18	12	5	15	13	20	7
OTU508	10	11 	16	9	25	13	11	25	17	9	11	13	10
OTU509	2	4 	1	1	0	2	0	1	2	5	2	2	3
OTU510	2	0 	0	0	1	0	1	1	1	0	0	0	1
OTU511	4	3 	8	10	4	1	17	10	3	5	8	6	9
OTU512	0	1 	0	1	1	1	0	0	2	0	0	2	0
OTU513	0	0 	0	0	0	0	0	1	0	0	0	2	0
OTU514	0	1 	1	0	0	2	0	0	0	0	1	0	0
OTU515	23	19 	25	22	21	26	21	18	30	11	7	9	5
OTU516	6	4 	7	8	5	7	4	8	11	1	4	5	13
OTU517	1	1 	0	0	1	1	1	1	4	0	4	3	2
OTU518	2	5 	1	4	3	4	1	2	4	5	2	4	1
OTU519	0	0 	0	1	2	0	0	1	1	0	0	0	0
OTU520	1	2 	4	0	0	2	1	0	0	1	0	0	0
OTU521	1	1 	0	0	0	0	0	2	1	2	0	0	1
OTU522	0	0 	2	1	0	0	1	1	1	0	0	0	0
OTU523	0	3 	1	0	1	2	0	5	1	4	0	2	0
OTU524	16	4 	10	2	2	5	4	0	0	2	0	0	0
OTU525	0	1 	2	1	1	1	0	0	0	1	0	0	0
OTU526	10	9 	7	5	6	14	9	8	6	4	11	8	5
OTU527	0	0 	1	3	2	0	1	1	0	0	2	0	3
OTU528	17	11 	11	8	6	17	7	3	3	5	4	2	3
OTU529	3	2 	2	4	1	1	0	1	0	2	2	0	0
OTU530	6	10 	5	8	5	10	2	10	9	9	10	5	18
OTU531	14	18 	14	11	15	27	24	18	13	9	12	10	7
OTU532	1	0 	0	1	0	0	0	1	0	0	1	0	0
OTU533	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU534	1	3 	6	0	2	3	0	0	0	3	3	2	1
OTU535	1	1 	0	0	0	2	0	0	0	0	1	0	0
OTU536	2	2 	0	0	0	0	2	0	0	3	2	0	0
OTU537	0	0 	0	0	3	0	0	0	0	0	0	0	0
OTU538	0	0 	1	2	2	0	1	0	4	0	3	1	2
OTU539	3	2 	0	2	1	1	1	3	1	2	3	2	0
OTU540	2	1 	1	0	2	0	1	1	0	1	1	1	2
OTU541	0	0 	1	0	1	0	1	0	0	0	0	1	1
OTU542	0	0 	1	0	0	0	0	1	0	0	0	0	1
OTU543	3	2 	4	8	11	2	7	9	15	2	7	9	6
OTU544	0	0 	0	1	0	0	1	1	0	0	0	0	0
OTU545	1	0 	0	0	1	0	0	1	0	0	0	2	0
OTU546	0	2 	4	1	1	2	1	1	0	1	0	0	0
OTU547	0	1 	0	0	0	1	0	0	0	0	0	0	0
OTU548	0	0 	0	1	0	0	0	0	1	0	1	2	0
OTU549	2	4 	2	8	6	5	5	3	2	3	3	6	4
OTU550	0	1 	1	1	2	0	1	1	0	2	0	0	0
OTU551	10	3 	6	11	11	1	14	9	22	4	12	2	8
OTU552	0	0 	0	1	1	0	0	0	0	0	2	0	0
OTU553	3	2 	3	0	1	1	1	3	2	3	0	0	3
OTU554	0	0 	0	1	1	0	0	1	0	0	0	1	2
OTU555	3	1 	1	1	1	0	2	0	3	1	2	0	3
OTU556	1	1 	0	1	2	0	0	1	2	1	1	2	1
OTU557	0	2 	1	0	0	4	0	1	0	0	0	3	0
OTU558	0	1 	0	0	0	0	2	0	2	1	0	2	0
OTU559	0	1 	0	1	0	1	1	0	0	0	0	0	1
OTU560	0	0 	0	1	3	0	3	0	1	0	0	1	1
OTU561	0	1 	0	0	1	1	0	1	1	1	1	0	0
OTU562	0	1 	0	2	0	0	0	0	0	1	0	1	1
OTU563	1	0 	0	0	0	0	3	1	0	0	0	0	1
OTU564	0	0 	0	0	2	0	0	0	0	0	0	0	1
OTU565	0	1 	0	0	0	2	0	0	0	0	2	0	1
OTU566	1	1 	0	1	0	1	1	2	0	0	0	1	1
OTU567	4	3 	3	4	3	3	5	2	1	2	0	3	2
OTU568	0	0 	0	0	1	0	0	1	0	0	0	0	0
OTU569	1	1 	3	0	0	1	3	1	2	1	3	1	1
OTU570	0	1 	0	0	0	1	1	1	0	0	1	1	0
OTU571	1	2 	2	4	3	4	4	6	4	0	1	7	7
OTU572	2	5 	2	2	4	5	3	0	0	4	3	1	0
OTU573	0	0 	0	1	4	0	2	2	0	0	3	1	1
OTU574	7	8 	2	3	1	10	5	0	1	6	1	0	0
OTU575	0	0 	1	0	1	0	0	1	1	0	1	1	0
OTU576	1	0 	1	0	0	0	0	1	0	0	1	0	0
OTU577	0	3 	0	2	0	4	3	1	0	2	0	0	0
OTU578	0	0 	1	1	0	0	0	0	0	0	0	0	2
OTU579	0	1 	0	1	1	0	1	0	1	1	1	3	1
OTU580	1	0 	0	0	0	0	2	3	1	0	1	2	0
OTU581	2	1 	1	0	0	1	1	5	1	1	0	0	0
OTU582	2	2 	3	2	3	2	3	6	1	1	3	1	3
OTU583	0	0 	0	1	0	0	0	0	0	0	0	0	1
OTU584	1	1 	0	0	1	2	0	0	1	0	1	0	0
OTU585	1	1 	0	0	0	1	1	0	0	0	0	0	0
OTU586	0	0 	0	0	2	0	0	0	0	0	0	0	1
OTU587	0	0 	0	1	0	0	1	0	0	0	0	0	0
OTU588	2	0 	0	0	1	0	0	0	0	0	1	0	1
OTU589	2	2 	2	2	7	2	2	1	2	2	1	0	0
OTU590	30	28 	24	24	26	27	47	27	39	28	42	44	54
OTU591	2	3 	6	6	4	4	2	2	1	2	1	1	3
OTU592	2	0 	3	0	0	0	1	2	0	0	0	0	1
OTU593	3	8 	10	3	6	10	1	6	7	5	5	4	10
OTU594	1	0 	0	0	0	0	0	1	0	0	0	0	0
OTU595	0	0 	0	0	0	0	0	0	1	0	0	0	0
OTU596	0	1 	0	0	0	0	0	0	0	1	0	2	0
OTU597	9	17 	16	16	20	9	25	30	27	25	30	9	40
OTU598	0	1 	0	1	1	1	1	1	0	1	0	0	0
OTU599	0	0 	0	0	0	0	0	0	1	0	0	0	0
OTU600	12	17 	17	15	29	22	21	31	59	11	16	25	49
OTU601	0	0 	0	0	1	0	0	2	0	0	1	0	1
OTU602	0	0 	1	1	2	0	1	0	1	0	0	1	4
OTU604	0	0 	0	1	0	0	0	0	0	0	0	0	0
OTU605	0	0 	0	2	1	0	0	0	1	0	0	0	0
OTU606	1	1 	1	1	0	2	1	3	0	0	0	0	4
OTU607	7	4 	13	11	17	6	11	12	11	2	9	20	18
OTU608	0	1 	2	0	0	2	1	0	0	0	2	1	0
OTU609	0	0 	1	1	1	0	1	2	0	0	1	1	2
OTU610	1	0 	0	1	3	0	1	1	1	0	2	0	1
OTU611	11	3 	6	0	5	1	3	5	5	5	9	7	4
OTU612	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU613	11	10 	14	19	19	10	13	15	14	9	12	16	9
OTU614	1	0 	0	3	0	0	0	1	1	0	0	1	2
OTU615	1	0 	0	0	1	0	0	0	1	0	0	1	0
OTU616	0	0 	1	2	5	0	1	0	3	0	2	0	1
OTU617	0	0 	0	1	1	0	1	0	0	0	0	0	0
OTU618	0	1 	0	0	1	0	0	0	0	1	0	0	0
OTU619	1	0 	1	1	0	0	0	1	0	0	0	0	0
OTU620	35	38 	14	17	22	53	18	17	36	22	28	24	30
OTU621	1	3 	1	0	0	4	0	0	0	1	0	0	0
OTU622	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU623	3	2 	1	4	7	2	2	5	14	1	8	10	9
OTU624	25	21 	33	19	22	23	26	32	26	18	28	25	9
OTU625	4	5 	5	3	3	5	3	1	4	5	5	7	2
OTU626	0	0 	0	2	0	0	0	0	0	0	1	0	1
OTU627	0	0 	0	0	0	0	0	0	0	0	0	0	2
OTU628	1	0 	0	0	1	0	0	0	0	0	0	1	1
OTU629	0	0 	0	0	1	0	0	0	0	0	1	0	0
OTU630	0	0 	1	0	0	0	0	0	0	0	0	0	0
OTU631	0	1 	0	3	0	2	0	2	0	0	1	0	0
OTU632	0	0 	0	0	0	0	0	0	1	0	1	1	1
OTU633	0	0 	0	1	1	0	1	0	1	0	2	0	0
OTU634	14	4 	8	8	7	6	6	4	7	2	5	9	8
OTU635	0	0 	0	0	1	0	1	1	0	0	0	0	1
OTU636	1	0 	0	0	0	0	0	1	0	0	0	0	0
OTU637	18	14 	15	18	31	15	13	12	18	12	16	27	15
OTU638	3	1 	1	0	1	1	3	4	1	1	1	2	1
OTU639	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU640	0	2 	7	4	1	1	4	3	1	3	2	1	5
OTU641	1	0 	0	1	4	0	0	2	1	0	2	0	3
OTU642	22	15 	10	13	6	23	8	13	8	7	14	7	4
OTU643	0	0 	0	0	0	0	0	1	2	0	0	0	0
OTU644	21	25 	19	16	10	24	20	17	13	25	14	13	23
OTU645	1	0 	1	1	1	0	1	1	0	0	0	0	0
OTU646	1	2 	1	4	3	3	1	3	4	1	3	0	3
OTU647	1	2 	0	0	0	2	0	0	0	1	0	1	0
OTU648	0	0 	1	0	1	0	0	0	4	0	0	0	2
OTU649	3	4 	4	1	0	3	5	4	5	5	2	3	2
OTU650	1	0 	0	0	1	0	0	0	0	0	0	0	0
OTU651	0	0 	1	1	0	0	0	0	0	0	1	1	0
OTU652	6	1 	4	2	0	0	1	0	0	1	1	0	0
OTU653	0	1 	0	1	1	1	1	0	3	0	0	2	0
OTU654	2	2 	3	0	1	2	3	1	4	2	1	3	2
OTU655	42	36 	22	29	23	37	36	38	33	35	37	46	38
OTU656	11	9 	18	8	10	10	11	11	4	7	9	7	14
OTU657	0	0 	2	1	1	0	1	0	0	0	2	1	1
OTU658	8	7 	12	11	10	9	16	5	3	4	5	6	3
OTU659	0	0 	0	0	3	0	1	0	0	0	0	0	0
OTU660	1	0 	0	0	0	0	0	0	0	0	0	1	0
OTU661	0	0 	0	1	0	0	0	0	0	0	0	0	0
OTU662	0	0 	0	0	1	0	0	0	1	0	1	0	0
OTU663	1	4 	3	9	12	4	5	9	5	3	3	5	6
OTU664	0	1 	1	0	0	0	0	1	0	1	3	0	0
OTU665	0	3 	3	4	2	1	2	1	0	4	1	3	3
OTU666	1	1 	3	2	2	1	1	2	0	0	1	1	0
OTU667	0	1 	0	1	1	1	1	0	3	0	1	0	2
OTU668	1	0 	2	2	3	0	0	1	2	0	0	0	2
OTU669	1	0 	1	1	1	0	0	0	0	0	2	0	0
OTU670	129	313 	9	13	8	166	12	10	4	460	11	16	10
OTU671	0	2 	3	3	2	4	0	1	1	0	3	2	0
OTU672	0	0 	0	1	1	0	1	0	0	0	1	1	0
OTU673	5	7 	4	15	8	9	18	13	11	5	14	8	17
OTU674	6	3 	3	6	4	4	4	0	0	2	5	2	0
OTU675	4	1 	1	1	1	1	3	2	2	1	2	0	1
OTU676	0	0 	0	0	1	0	1	0	0	0	0	0	0
OTU677	0	4 	4	0	0	4	1	1	0	3	1	0	0
OTU678	0	0 	1	0	1	0	2	3	0	0	0	2	2
OTU679	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU680	0	1 	0	0	0	0	0	0	0	1	0	0	0
OTU681	1	6 	1	2	1	8	1	1	0	3	3	3	6
OTU682	1	1 	2	1	1	0	1	0	0	1	1	1	0
OTU683	2	2 	5	0	4	3	3	6	4	0	4	3	1
OTU684	0	1 	0	0	1	2	2	1	0	0	0	0	0
OTU685	1	0 	0	0	0	0	0	0	0	0	0	0	0
OTU686	0	1 	1	0	0	1	0	0	1	0	1	0	0
OTU687	4	6 	4	2	5	6	5	5	3	5	5	7	3
OTU688	0	0 	0	0	0	0	0	0	0	0	0	2	1
OTU689	2	1 	0	0	1	1	1	1	1	0	3	2	0
OTU690	1	1 	0	0	0	1	1	0	1	1	1	0	0
OTU691	7	6 	15	6	10	7	16	13	14	5	9	5	7
OTU692	3	1 	4	4	2	1	6	2	3	1	4	3	1
OTU693	2	1 	1	1	1	0	2	2	1	1	4	3	3
OTU694	0	0 	0	1	1	0	1	0	0	0	1	1	0
OTU695	2	0 	0	0	2	0	0	2	0	0	0	0	0
OTU696	6	5 	4	1	1	3	1	1	0	7	4	2	1
OTU697	10	5 	3	6	7	6	5	5	5	4	6	6	8
OTU698	0	1 	0	0	2	1	0	0	0	0	1	0	0
OTU699	1	1 	0	1	1	0	0	1	1	1	0	0	0
OTU700	0	0 	0	0	2	0	2	1	1	0	1	1	0
OTU701	0	0 	0	1	0	0	1	1	0	0	1	0	0
OTU702	0	1 	1	0	1	0	0	0	0	1	0	0	0
OTU703	5	5 	9	4	4	5	1	2	0	4	3	0	3
OTU704	1	1 	0	1	0	1	1	2	0	1	0	0	0
OTU705	10	9 	4	5	7	12	2	1	6	5	3	2	3
OTU706	0	0 	0	0	0	0	0	2	5	0	0	1	2
OTU707	1	2 	1	2	1	3	1	1	1	1	0	1	2
OTU708	0	0 	1	0	0	0	1	3	1	0	0	4	2
OTU709	4	1 	4	2	3	1	1	1	4	0	0	3	0
OTU710	0	0 	2	1	2	0	0	1	0	0	0	0	0
OTU711	6	4 	5	4	1	6	7	5	7	1	6	2	5
OTU712	0	0 	0	0	0	0	1	1	0	0	1	3	0
OTU713	0	1 	0	1	0	0	1	2	0	2	4	1	0
OTU714	0	0 	0	0	0	0	0	1	1	0	1	1	0
OTU715	0	0 	2	2	1	0	2	1	4	0	2	2	3
OTU716	1	1 	0	1	0	1	0	1	0	0	2	0	0
OTU717	0	1 	0	0	0	2	0	1	0	0	2	0	1
OTU718	6	3 	6	4	2	4	2	3	0	1	5	0	2
OTU719	0	0 	3	0	0	0	0	1	0	0	1	1	0
OTU720	11	15 	12	14	21	20	18	13	15	10	11	12	18
OTU721	3	4 	12	9	11	5	3	10	9	3	6	10	9
OTU722	2	2 	0	0	1	3	0	1	0	0	0	0	1
OTU723	1	1 	0	0	0	0	2	0	0	1	0	0	1
OTU724	2	1 	4	0	0	0	3	1	0	2	3	0	0
OTU725	0	1 	1	0	0	1	0	0	0	0	0	0	0
OTU726	0	1 	2	1	7	2	1	0	2	0	0	0	1
OTU727	0	0 	0	1	3	0	1	0	1	0	0	0	1
OTU728	0	2 	1	0	0	1	0	1	0	2	1	0	0
OTU729	0	0 	0	1	0	0	3	0	1	0	3	1	1
OTU730	0	0 	1	2	0	0	0	0	1	0	3	4	0
OTU731	0	0 	5	1	2	0	67	26	49	0	1	115	27
OTU732	0	0 	0	0	0	0	0	0	0	0	1	0	4
OTU733	62	161 	18	28	34	137	28	17	24	185	23	27	23
OTU734	3	5 	8	7	9	4	8	4	5	5	6	4	1
OTU735	2	2 	3	2	3	2	3	1	1	2	2	0	3
OTU736	0	0 	0	0	0	0	1	0	0	0	1	0	0
OTU737	0	1 	1	1	0	0	0	1	3	1	1	0	1
OTU738	0	0 	0	0	2	0	0	0	2	0	1	0	2
OTU739	2	3 	7	9	12	2	8	1	4	4	7	8	11
OTU740	0	1 	1	0	1	1	2	0	2	0	0	1	0
OTU741	2	1 	9	18	11	1	4	4	0	0	1	4	0
OTU742	1	0 	2	1	4	0	0	0	0	0	1	0	0
OTU743	3	3 	0	1	1	3	1	0	0	2	0	1	1
OTU744	1	0 	1	0	2	0	0	1	0	0	0	0	0
OTU745	8	9 	0	3	2	7	5	7	4	10	5	3	5
OTU746	0	0 	1	1	9	0	0	1	6	0	0	4	1
OTU747	25	10 	0	0	0	7	0	0	0	13	2	0	0
OTU748	1	0 	2	5	8	0	0	2	2	0	0	1	2
OTU749	10	6 	4	1	0	9	4	17	8	3	6	3	6
OTU750	0	1 	0	2	3	1	2	2	1	0	0	1	1
OTU751	0	0 	0	0	1	0	1	1	0	0	0	1	0
OTU752	78	58 	59	61	78	68	66	42	77	48	73	60	44
OTU753	0	1 	1	3	1	1	4	4	6	1	1	5	11
OTU754	1	4 	4	3	1	2	2	3	6	5	3	3	2
OTU755	2	2 	0	1	2	1	1	2	3	2	2	0	0
OTU756	1	1 	1	3	2	1	0	2	2	1	4	3	0
OTU757	0	0 	0	0	0	0	1	0	0	0	0	1	0
OTU758	0	0 	21	12	0	0	0	0	0	0	0	12	0
OTU759	0	3 	3	3	3	4	2	1	1	2	1	3	1
OTU760	2	3 	2	6	3	2	0	1	1	3	3	4	2
OTU761	0	0 	1	0	1	0	1	0	1	0	1	2	0
OTU762	4	1 	2	0	0	0	0	1	1	2	0	0	5
OTU763	0	1 	0	0	1	0	0	0	0	1	0	0	0
OTU764	3	6 	9	4	2	4	5	7	3	7	4	6	2
OTU765	1	2 	1	1	0	2	0	2	2	2	3	0	0
OTU766	2	2 	0	0	0	1	0	0	0	2	0	1	3
OTU767	2	3 	6	7	6	3	4	8	6	2	7	3	5
OTU768	1	1 	0	4	2	0	1	0	2	1	2	4	3
OTU769	1	0 	0	0	0	0	0	0	0	0	0	0	0
OTU770	0	1 	0	2	1	1	2	0	0	1	0	0	0
OTU771	16	13 	15	8	5	16	9	16	12	9	3	9	14
OTU772	0	0 	0	0	0	0	1	0	0	0	0	1	0
OTU773	0	1 	1	1	2	0	0	0	1	1	2	1	1
OTU774	6	9 	10	14	6	10	6	8	5	7	19	4	13
OTU775	1	3 	6	8	4	5	3	4	2	0	3	6	3
OTU776	11	8 	3	5	9	10	11	10	15	6	4	7	3
OTU777	6	5 	3	5	9	8	4	7	11	2	9	8	8
OTU778	1	0 	2	1	0	0	0	0	1	0	1	1	0
OTU779	1	1 	0	1	0	0	0	0	2	1	0	1	3
OTU780	8	6 	4	0	1	7	4	1	1	4	1	2	1
OTU781	1	1 	0	1	1	1	0	1	0	1	0	0	0
OTU782	0	0 	0	2	1	0	1	0	0	0	0	1	1
OTU783	0	0 	1	0	1	0	0	0	0	0	0	0	1
OTU784	2	4 	7	5	9	3	8	11	10	4	9	2	19
OTU785	0	0 	0	1	2	0	0	0	0	0	0	0	1
OTU786	1	1 	2	2	2	0	0	3	1	2	2	0	7
OTU787	0	0 	0	1	0	0	0	0	0	0	0	0	0
OTU788	1	1 	3	0	4	0	4	4	3	2	6	0	2
OTU789	0	1 	1	2	3	1	1	1	0	1	1	1	0
OTU790	0	0 	2	4	0	0	0	0	3	0	0	2	1
OTU791	0	0 	0	0	0	0	0	2	1	0	0	0	1
OTU792	3	4 	7	8	5	3	6	5	6	5	4	7	9
OTU793	1	3 	0	1	1	4	4	1	2	1	0	0	1
OTU794	0	1 	0	0	0	2	0	0	0	0	0	0	0
OTU795	0	3 	0	3	0	3	0	1	0	3	0	1	0
OTU796	1	3 	7	4	6	2	8	4	11	4	5	5	9
OTU797	0	2 	1	0	0	2	0	0	0	1	0	1	0
OTU798	2	1 	2	2	2	0	3	5	2	2	3	0	2
OTU799	3	9 	7	2	7	13	4	3	3	5	2	1	1
OTU800	0	0 	0	2	0	0	0	1	2	0	0	0	0
OTU801	11	5 	10	9	8	10	10	10	12	0	11	16	7
OTU802	1	2 	1	3	3	0	1	3	0	3	1	1	2
OTU803	0	1 	0	1	0	0	0	0	0	1	0	0	0
OTU804	4	3 	0	0	0	6	3	1	0	0	2	1	1
OTU805	0	0 	1	0	0	0	2	2	0	0	0	1	2
OTU806	1	5 	7	6	7	6	4	4	13	3	6	15	11
OTU807	1	0 	0	0	0	0	0	0	0	0	0	0	1
OTU808	2	1 	0	0	0	1	0	0	0	1	1	0	2
OTU809	2	2 	0	1	2	3	4	3	2	1	0	0	3
OTU810	0	0 	0	0	0	0	1	1	0	0	0	1	0
OTU811	0	0 	1	0	0	0	0	2	1	0	0	0	2
OTU812	3	2 	3	1	2	3	4	0	2	1	2	5	1
OTU813	0	1 	0	0	0	1	0	0	0	0	0	0	0
OTU814	7	3 	5	2	0	0	1	1	0	6	3	0	1
OTU815	0	0 	2	2	0	0	4	3	1	0	1	1	1
OTU816	1	1 	0	0	1	1	0	0	0	0	0	1	0
OTU817	0	2 	0	1	0	1	0	1	0	2	2	0	0
OTU818	2	1 	3	0	3	1	0	0	0	0	1	0	0
OTU819	0	2 	1	0	2	0	0	1	0	3	3	0	1
OTU820	2	6 	6	6	3	4	12	9	8	8	5	7	11
OTU821	0	0 	2	0	2	0	0	0	0	0	0	0	1
OTU822	0	0 	1	0	1	0	0	6	1	0	0	0	2
OTU823	1	1 	0	3	1	1	0	0	0	0	1	0	0
OTU824	0	1 	0	0	1	0	0	0	0	1	1	0	0
OTU825	1	0 	1	0	0	0	0	0	0	0	0	0	1
OTU826	1	2 	0	5	2	2	4	2	9	2	4	6	1
OTU827	4	1 	1	1	0	1	4	0	0	0	1	0	0
OTU828	0	0 	0	1	2	0	2	0	1	0	0	1	0
OTU829	1	1 	1	0	0	0	0	0	0	1	1	2	0
OTU830	0	0 	0	2	0	0	1	1	0	0	2	0	1
OTU831	4	1 	1	2	3	1	3	2	0	0	2	3	1
OTU832	8	6 	7	10	9	5	5	8	4	6	7	10	18
OTU833	6	4 	2	0	0	2	5	0	1	6	5	3	2
OTU834	18	13 	18	19	22	13	25	25	34	13	18	18	21
OTU835	0	0 	1	0	0	0	0	1	0	0	0	1	2
OTU837	0	0 	0	0	1	0	0	0	0	0	0	2	0
OTU838	1	2 	1	0	1	3	2	0	2	0	2	0	5
OTU839	0	0 	1	0	0	0	0	0	0	0	1	0	0
OTU840	1	0 	0	0	0	0	2	0	0	0	0	0	2
OTU841	1	1 	0	0	0	0	0	0	1	1	0	0	0
OTU842	1	0 	0	0	0	0	0	0	3	0	1	0	0
OTU843	0	1 	0	0	2	1	0	0	0	0	0	0	0
OTU844	2	3 	2	2	2	2	4	2	0	4	2	2	2
OTU845	2	1 	1	1	3	1	1	3	2	1	1	1	1
OTU846	1	1 	5	1	2	1	0	0	0	0	0	1	0
OTU847	0	0 	0	0	1	0	0	1	0	0	0	0	0
OTU848	0	1 	0	0	0	1	1	1	2	0	0	0	0
OTU849	1	0 	0	0	0	0	0	1	0	0	0	0	0
OTU850	1	1 	0	0	0	1	1	0	0	1	0	0	0
OTU851	0	1 	3	2	1	1	0	0	1	0	0	2	0
OTU852	6	5 	14	12	17	3	6	10	15	6	15	8	13
OTU853	0	0 	0	0	0	0	0	1	0	0	0	1	0
OTU854	1	1 	0	2	1	1	0	0	2	0	0	0	1
OTU855	1	4 	2	3	2	5	3	0	0	3	4	2	4
OTU856	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU857	16	19 	29	21	28	24	33	12	18	13	15	11	11
OTU858	2	5 	0	1	2	4	0	3	2	5	3	0	1
OTU859	1	0 	0	0	0	0	0	0	0	0	0	0	0
OTU860	2	0 	0	0	0	0	0	2	1	0	0	0	0
OTU861	5	3 	2	3	1	2	8	7	4	4	4	1	0
OTU862	33	34 	31	25	31	37	33	9	18	31	32	17	17
OTU863	3	0 	0	1	3	0	2	5	2	0	0	2	1
OTU864	0	0 	0	0	0	0	0	1	1	0	0	0	0
OTU865	4	3 	1	1	0	3	2	2	2	2	3	4	4
OTU866	0	1 	1	1	1	1	1	0	3	0	1	1	1
