OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU99	1	1 	2	0	1	0	1	0	0	1	0	0	1
OTU100	1	0 	0	1	1	0	1	3	3	0	0	1	0
OTU101	0	0 	0	0	1	0	1	0	0	0	0	2	0
OTU102	5	5 	1	11	9	4	5	4	7	5	6	4	5
OTU103	0	0 	0	1	0	0	0	0	0	0	0	0	0
OTU104	0	0 	1	0	0	0	2	1	1	0	1	0	0
OTU105	0	0 	0	0	1	0	0	0	0	0	2	0	0
OTU106	1	1 	0	0	0	2	1	1	0	0	1	1	1
OTU107	1	1 	0	2	0	2	1	0	0	0	0	0	0
OTU108	16	18 	47	43	47	18	46	25	32	17	33	29	44
OTU109	0	0 	0	0	0	0	1	187	0	0	0	0	0
OTU110	90	69 	93	116	79	73	117	119	90	64	113	83	99
OTU111	17	31 	27	31	34	34	26	34	40	27	41	25	33
OTU112	1	0 	2	6	5	0	5	1	3	0	6	2	1
OTU113	3	8 	4	7	10	9	8	2	17	7	5	7	10
OTU114	0	0 	1	1	1	0	0	0	0	0	0	0	0
OTU115	1	1 	1	1	1	0	0	0	0	1	2	0	0
OTU116	1	2 	3	0	0	3	1	0	0	0	1	0	0
OTU117	0	0 	1	0	1	0	0	0	0	0	0	0	0
OTU118	0	1 	1	2	2	0	3	1	2	1	2	2	2
OTU119	0	1 	0	0	2	1	0	0	0	0	2	1	0
OTU120	3	3 	1	3	2	4	2	5	3	1	2	5	3
OTU121	0	1 	5	1	0	2	0	2	0	1	0	0	2
OTU122	1	0 	0	1	2	0	0	4	2	0	0	3	4
OTU123	0	1 	0	0	1	0	0	0	0	1	0	2	1
OTU124	0	2 	0	0	1	3	2	2	0	0	0	4	2
OTU125	1	3 	1	0	4	2	4	2	0	3	1	0	4
OTU126	0	0 	0	0	0	0	0	0	1	0	0	0	1
OTU127	6	4 	11	2	1	2	4	0	2	6	3	3	0
OTU128	1	1 	2	1	3	0	0	0	0	1	0	1	3
OTU129	28	20 	42	47	62	21	40	59	54	18	64	40	45
OTU130	0	0 	0	0	0	0	0	1	0	0	0	2	0
OTU131	1	1 	3	3	3	1	4	0	2	1	0	0	1
OTU132	1	2 	2	3	0	2	2	2	0	2	0	0	0
OTU133	2	2 	0	3	4	3	3	4	3	0	2	1	5
OTU134	7	8 	10	7	2	9	11	13	13	7	8	8	10
OTU135	0	0 	0	1	0	0	0	4	0	0	0	1	0
OTU136	0	1 	2	1	1	2	2	1	0	0	2	0	3
OTU137	3	14 	6	1	5	14	3	5	4	13	5	4	3
OTU138	1	1 	0	0	0	0	0	0	0	1	0	0	1
OTU139	1	1 	1	1	0	0	1	0	0	2	0	0	1
OTU140	0	0 	0	0	0	0	2	0	0	0	0	0	2
OTU141	0	0 	0	0	0	0	0	2	0	0	0	0	0
OTU142	9	4 	3	2	1	4	2	3	3	4	0	1	1
OTU143	2	0 	0	0	0	0	0	0	0	0	0	0	0
OTU144	2	1 	0	1	2	1	0	0	0	0	0	2	0
OTU145	0	1 	0	0	1	1	1	1	1	0	0	0	0
OTU146	2	3 	3	5	9	3	6	5	3	3	4	5	5
OTU147	2	2 	9	6	9	0	6	8	7	3	3	7	11
OTU148	3	0 	0	0	0	0	0	0	0	0	2	0	0
OTU149	0	0 	1	2	0	0	0	1	0	0	0	0	0
OTU150	0	2 	3	5	2	3	2	3	3	0	5	5	2
OTU151	1	1 	0	0	2	1	0	0	0	0	0	0	0
OTU152	2	1 	4	3	4	0	3	3	5	1	2	2	5
OTU153	0	0 	0	1	0	0	0	0	2	0	0	1	1
OTU154	1	1 	2	2	1	1	1	0	0	0	0	0	0
OTU155	6	8 	9	4	8	8	4	6	7	7	7	3	4
OTU156	0	2 	0	1	2	3	3	0	0	1	0	2	2
OTU157	0	0 	0	0	0	0	0	1	1	0	0	0	0
OTU158	0	0 	0	0	3	0	0	1	1	0	0	0	1
OTU159	1	0 	1	2	1	0	1	0	0	0	3	1	1
OTU160	0	0 	1	1	0	0	0	2	2	0	0	0	0
OTU161	0	1 	0	1	3	2	0	0	0	0	0	1	0
OTU162	1	0 	1	2	0	0	1	2	0	0	0	0	4
OTU163	19	15 	14	19	24	18	25	36	26	11	32	27	26
OTU164	39	43 	57	47	54	38	60	49	53	47	59	45	40
OTU165	0	0 	0	1	0	0	0	0	0	0	0	0	0
OTU166	2	1 	2	1	2	1	1	3	1	0	1	2	1
OTU167	1	2 	0	3	2	1	1	0	0	2	1	2	3
OTU168	1	0 	2	4	0	0	4	0	0	0	0	0	0
OTU169	1	1 	4	2	2	1	1	2	3	1	1	1	2
OTU170	1	2 	2	1	5	2	1	4	6	2	2	1	1
OTU171	0	2 	2	1	1	3	1	2	0	0	0	0	1
OTU172	0	0 	0	0	0	0	0	0	1	0	0	1	0
OTU173	0	2 	5	1	2	3	1	1	0	1	5	1	0
OTU174	3	8 	13	15	12	7	17	15	21	8	18	13	19
OTU175	2	1 	0	0	0	1	3	2	0	1	0	1	0
OTU176	110	94 	132	105	100	91	119	124	126	96	149	74	139
OTU177	0	1 	4	2	2	1	0	1	2	0	3	3	1
OTU178	0	1 	0	0	0	0	0	0	0	1	0	0	0
OTU179	0	0 	1	0	0	0	0	1	1	0	0	1	0
OTU180	0	1 	1	1	0	1	1	0	0	0	0	1	1
OTU181	11	8 	6	9	5	8	9	11	9	7	7	6	9
OTU182	2	5 	1	3	3	2	5	5	2	7	3	3	5
OTU183	0	1 	0	1	0	0	0	2	1	1	0	0	0
OTU184	13	13 	6	8	9	16	9	7	2	9	8	7	4
OTU185	1	0 	0	2	0	0	0	0	3	0	2	1	0
OTU186	2	3 	5	2	7	2	4	2	4	4	3	1	4
OTU187	0	0 	0	2	2	0	0	0	0	0	0	0	0
OTU188	1	1 	6	3	4	1	0	0	1	0	0	1	0
OTU189	0	2 	0	0	1	2	0	1	0	2	1	1	0
OTU190	0	1 	1	0	1	0	3	2	1	1	0	4	0
OTU191	1	1 	0	3	0	0	0	2	1	1	4	0	2
