OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU151	1	0	0	0	0	0	0	0
OTU152	0	3	3	5	1	2	2	5
OTU153	0	0	0	2	0	0	1	1
OTU154	1	1	0	0	0	0	0	0
OTU155	8	4	6	7	7	7	3	4
OTU156	3	3	0	0	1	0	2	2
OTU157	0	0	1	1	0	0	0	0
OTU158	0	0	1	1	0	0	0	1
OTU159	0	1	0	0	0	3	1	1
OTU160	0	0	2	2	0	0	0	0
OTU161	2	0	0	0	0	0	1	0
OTU162	0	1	2	0	0	0	0	4
OTU163	18	25	36	26	11	32	27	26
OTU164	38	60	49	53	47	59	45	40
OTU165	0	0	0	0	0	0	0	0
OTU166	1	1	3	1	0	1	2	1
OTU167	1	1	0	0	2	1	2	3
OTU168	0	4	0	0	0	0	0	0
OTU169	1	1	2	3	1	1	1	2
OTU170	2	1	4	6	2	2	1	1
OTU171	3	1	2	0	0	0	0	1
OTU172	0	0	0	1	0	0	1	0
OTU173	3	1	1	0	1	5	1	0
OTU174	7	17	15	21	8	18	13	19
OTU175	1	3	2	0	1	0	1	0
OTU176	91	119	124	126	96	149	74	139
OTU177	1	0	1	2	0	3	3	1
OTU178	0	0	0	0	1	0	0	0
OTU179	0	0	1	1	0	0	1	0
OTU180	1	1	0	0	0	0	1	1
OTU181	8	9	11	9	7	7	6	9
OTU182	2	5	5	2	7	3	3	5
OTU183	0	0	2	1	1	0	0	0
OTU184	16	9	7	2	9	8	7	4
OTU185	0	0	0	3	0	2	1	0
OTU186	2	4	2	4	4	3	1	4
OTU187	0	0	0	0	0	0	0	0
OTU188	1	0	0	1	0	0	1	0
OTU189	2	0	1	0	2	1	1	0
OTU190	0	3	2	1	1	0	4	0
OTU191	0	0	2	1	1	4	0	2
OTU192	1	0	0	0	0	0	0	0
OTU193	4	0	1	0	0	2	0	2
OTU194	0	0	0	0	1	0	0	0
OTU195	0	0	0	0	0	0	0	2
OTU196	0	0	0	0	0	2	1	0
OTU197	0	0	2	6	1	0	2	10
OTU198	0	0	2	1	0	0	0	0
OTU199	2	4	5	1	2	3	3	0
OTU200	0	1	0	0	0	0	0	0
OTU201	1	8	8	2	3	5	7	4
OTU202	5	9	6	11	2	6	15	10
OTU203	3	1	0	1	0	0	0	0
OTU204	2	2	0	4	0	1	4	1
OTU205	3	1	1	1	2	3	0	5
OTU206	0	0	0	0	0	0	0	1
OTU207	0	1	0	2	0	1	0	2
OTU208	0	0	2	0	0	1	0	0
OTU209	6	3	1	2	3	3	1	0
OTU210	1	1	1	2	2	1	3	0
OTU211	2	2	1	1	3	1	0	1
OTU212	0	1	0	0	1	2	0	0
OTU213	15	9	7	6	9	3	15	9
OTU214	3	0	1	0	1	0	1	0
OTU215	0	2	0	3	0	2	2	2
OTU216	1	2	1	3	0	3	1	1
OTU217	0	1	0	1	0	0	0	1
OTU218	1	3	1	1	2	1	1	1
OTU219	0	3	5	4	1	4	3	4
