ARGs subtype	C0	C7	LP7	HP7	C15	LP15	HP15	C25	LP25	HP25	C40	LP40	HP40
acrA-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.58E-05	0.00E+00
acrF	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.94E-06	0.00E+00
mexF	4.04E-03	6.71E-04	8.26E-04	2.06E-03	7.70E-04	4.65E-03	2.47E-03	8.84E-04	4.04E-04	6.65E-04	3.60E-04	6.85E-04	6.69E-05
oprJ	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.31E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
qacEdelta1-01	8.89E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.53E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
qacEdelta1-02	6.03E-03	2.54E-04	0.00E+00	2.69E-04	0.00E+00	7.60E-04	4.39E-04	5.43E-05	0.00E+00	5.64E-05	7.07E-04	3.45E-05	0.00E+00
qacH-01	0.00E+00	2.04E-05	3.48E-05	1.79E-05	6.13E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E-05	1.22E-05
qacH-02	4.72E-05	0.00E+00	1.20E-05	2.61E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
dfrA1	7.19E-04	2.78E-05	0.00E+00	1.26E-05	0.00E+00	9.56E-05	7.06E-05	8.33E-05	1.22E-05	1.29E-04	0.00E+00	0.00E+00	0.00E+00
sul2	4.27E-03	0.00E+00	1.63E-04	6.56E-05	0.00E+00	1.98E-03	3.20E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.45E-05	0.00E+00
sulA/folP-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.27E-05	1.94E-05
tetA-02	3.34E-05	0.00E+00	2.05E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
tetG-01	1.28E-03	0.00E+00	0.00E+00	6.09E-05	0.00E+00	4.25E-05	1.08E-05	0.00E+00	0.00E+00	5.56E-05	0.00E+00	0.00E+00	0.00E+00
tetG-02	1.46E-03	0.00E+00	0.00E+00	2.88E-05	0.00E+00	8.06E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
tetR-02	1.83E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
tet(34)	2.00E-05	0.00E+00	2.75E-05	9.45E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.41E-05	2.12E-05
tet(35)	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.22E-06	0.00E+00	0.00E+00	6.27E-06	0.00E+00	0.00E+00	0.00E+00
tetX	1.05E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
vanSB	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.55E-06	1.06E-05
